product_key,product,category,entry_stage,entry_stage_title,completion_stage,expansion_stage,feature_rows,workflow_rows,role,release_must_not_violate
nexarr,NexArr,Platform/IAM,R1,Foundation spine,R1,R12,69,14,"Identity, tenant membership, launch/session/service identity, platform admin, and account authority.",Keep launch and authority truthful without recreating product entitlements for ordinary products.
staffarr,StaffArr,"HRM / people, roles, locations",R1,Foundation spine,R4,R12,72,15,"People, roles, permissions context, org structure, sites, locations, incidents, and delegated account workflows.",Remain the shared people/location authority while product actions stay owned by the product performing them.
recordarr,RecordArr,DMS / evidence vault,R1,Foundation spine,R3,R12,69,15,"Document metadata, files, versions, record packets, retention, evidence references, and audit packages.",Replace any in-memory/file-prototype truth before products rely on evidence persistence.
compliancecore,Compliance Core,GRC / rule engine,R2,Compliance Core runtime baseline,R2,R12,79,17,"Regulatory meaning, applicability, citations, rulepacks, evidence requirements, questionnaires, and normalized compliance facts.",Keep administrative authoring platform-admin-only while runtime guidance serves all products.
maintainarr,MaintainArr,CMMS / EAM,R3,MaintainArr flagship operational slice,R3,R12,73,14,"Assets, defects, inspections, preventive maintenance, work orders, readiness, downtime, and maintenance execution.","Prove asset-to-work-to-evidence without stealing inventory, training, quality, or document truth."
trainarr,TrainArr,LMS / qualifications,R4,Training and qualification gate,R4,R12,73,15,"Training definitions, assignments, evaluation, certificates, qualifications, remediation, and renewals.",Own qualification truth while StaffArr owns people and incidents.
supplyarr,SupplyArr,SRM / procurement,R5,"Procure, receive, put away, reserve, and issue",R5,R12,72,16,"Suppliers, vendors, procurement expectations, purchase requests/orders, sourcing, pricing, and lead-time context.",Own commercial/procurement truth while LoadArr owns physical inventory and CustomArr owns customers.
loadarr,LoadArr,WMS / inventory,R5,"Procure, receive, put away, reserve, and issue",R5,R12,71,15,"Receiving, putaway, locations-as-references, item balances, stock ledger, reservations, picks, issues, transfers, counts, and discrepancies.",Replace fixture/no-op/local-success behavior before any production inventory reliance.
assurarr,AssurArr,QMS,R6,"Quality hold, release, and corrective action",R6,R12,68,14,"Nonconformance, quality holds, releases, CAPA, audits, findings, complaints, supplier quality, and quality status.","Block and release via permissioned, evidenced quality decisions rather than shadow-owning affected records."
customarr,CustomArr,CRM,R7A,Customer master baseline,R7A,R12,70,16,"Customer accounts, contacts, locations, requirements, contracts, preferences, onboarding, eligibility, and CRM/customer portal context.","Be the customer source of truth before OrdArr, RoutArr, or SupplyArr consumes customer requirements."
ordarr,OrdArr,OMS,R7B,Order/request orchestration baseline,R7B,R12,66,15,"Orders, requests, order lifecycle, triage, handoffs, exception coordination, completion packets, and bill-ready intent.",Explain why work is happening while execution products own how work is performed.
routarr,RoutArr,TMS,R8,Dispatch and transportation execution,R8,R12,73,15,"Transportation demand, dispatch, routes, trips, stops, driver/equipment snapshots, exceptions, proof, dock visibility, and freight packets.",Dispatch only against explicit readiness snapshots from owning products.
fieldcompanion,Field Companion,MAM / mobile companion,R9,Field Companion mobile execution,R9,R12,71,17,"Mobile assigned work, secure capture/upload, offline queueing, sync, scanning, and product action surfaces.",Never become a mobile source of truth; replay all actions through owning APIs.
reportarr,ReportArr,BI / reporting,R10,ReportArr operational reporting,R10,R12,68,15,"Read models, dashboards, metrics, scheduled reports, exports, provenance drillbacks, and audit-ready report outputs.",ReportArr projects and explains source truth; it must not correct source truth.
ledgarr,LedgArr,ERP / finance bridge,R11,LedgArr bridge-first finance,R11,R12,75,20,"Legal entities, books, dimensions, financial packet governance, posting rules, AP/AR/inventory valuation snapshots, and external ERP bridges.",Start bridge-first; do not absorb operating truth or become a full ERP gravity well prematurely.
stlcompliancesite,STLComplianceSite,Public site / lead intake,R12,"Expansion, portals, advanced integrations, AI, and category depth",R12,R12,0,0,"Public marketing, product/industry pages, legal/trust content, lead inquiry, and site-to-CustomArr handoff.",Market the staged product truth without promising unshipped operational loops.
