citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_395_b,fmcsa_fmcsr,title49.driver.eld_records,1,Electronic Logging Devices (ELDs),49 CFR Part 395 Subpart B,Mapping level candidate for 49 CFR Part 395 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-395/subpart-B,true,
t49_sec_395_20,fmcsa_fmcsr,title49.driver.eld_records,1,ELD applicability and scope.,49 CFR 395.20,Mapping level candidate for 49 CFR 395.20. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.20. Source: https://www.ecfr.gov/current/title-49/section-395.20,true,
t49_sec_395_22,fmcsa_fmcsr,title49.driver.eld_records,1,Motor carrier responsibilities-In general.,49 CFR 395.22,Mapping level candidate for 49 CFR 395.22. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.22. Source: https://www.ecfr.gov/current/title-49/section-395.22,true,
t49_sec_395_24,fmcsa_fmcsr,title49.driver.eld_records,1,Driver responsibilities-In general.,49 CFR 395.24,Mapping level candidate for 49 CFR 395.24. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.24. Source: https://www.ecfr.gov/current/title-49/section-395.24,true,
t49_sec_395_26,fmcsa_fmcsr,title49.driver.eld_records,1,ELD data automatically recorded.,49 CFR 395.26,Mapping level candidate for 49 CFR 395.26. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.26. Source: https://www.ecfr.gov/current/title-49/section-395.26,true,
t49_sec_395_28,fmcsa_fmcsr,title49.driver.eld_records,1,Special driving categories; other driving statuses.,49 CFR 395.28,Mapping level candidate for 49 CFR 395.28. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.28. Source: https://www.ecfr.gov/current/title-49/section-395.28,true,
t49_sec_395_30,fmcsa_fmcsr,title49.driver.eld_records,1,"ELD record submissions, edits, annotations, and data retention.",49 CFR 395.30,Mapping level candidate for 49 CFR 395.30. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.30. Source: https://www.ecfr.gov/current/title-49/section-395.30,true,
t49_sec_395_32,fmcsa_fmcsr,title49.driver.eld_records,1,Non-authenticated driver logs.,49 CFR 395.32,Mapping level candidate for 49 CFR 395.32. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.32. Source: https://www.ecfr.gov/current/title-49/section-395.32,true,
t49_sec_395_34,fmcsa_fmcsr,title49.driver.eld_records,1,ELD malfunctions and data diagnostic events.,49 CFR 395.34,Mapping level candidate for 49 CFR 395.34. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.34. Source: https://www.ecfr.gov/current/title-49/section-395.34,true,
t49_sec_395_36,fmcsa_fmcsr,title49.driver.eld_records,1,Driver access to records.,49 CFR 395.36,Mapping level candidate for 49 CFR 395.36. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.36. Source: https://www.ecfr.gov/current/title-49/section-395.36,true,
t49_sec_395_38,fmcsa_fmcsr,title49.driver.eld_records,1,Incorporation by reference.,49 CFR 395.38,Mapping level candidate for 49 CFR 395.38. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR 395.38. Source: https://www.ecfr.gov/current/title-49/section-395.38,true,
t49_app_part_395_subpart_b_a,fmcsa_fmcsr,title49.driver.eld_records,1,Functional Specifications for All Electronic Logging Devices (ELDs),49 CFR Appendix A to Subpart B of Part 395,Mapping level candidate for 49 CFR Appendix A to Subpart B of Part 395. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart B > 49 CFR Appendix A to Subpart B of Part 395. Source: https://www.ecfr.gov/current/title-49/part-395,true,
